Year,Week,Beat,District
2023,39,1033,10.0
2023,45,1650,16.0
2022,44,321,3.0
2019,16,1131,11.0
2022,18,2232,22.0
2019,3,822,8.0
2020,6,935,9.0
2022,18,1235,12.0
2021,22,1912,19.0
2023,24,2431,24.0
2022,3,711,7.0
2019,31,2211,22.0
2019,33,1214,12.0
2023,21,1022,10.0
2023,43,935,9.0
2019,13,1823,18.0
2019,28,1031,10.0
2022,18,1033,10.0
2020,41,2432,24.0
2021,31,932,9.0
2021,5,2413,24.0
2020,53,612,6.0
2023,19,1612,16.0
2021,49,1511,15.0
2023,43,1113,11.0
2020,35,214,2.0
2023,20,111,1.0
2022,3,1223,12.0
2021,7,1021,10.0
2021,27,431,4.0
2021,41,1811,18.0
2019,8,1522,15.0
2022,45,1235,12.0
2020,42,2513,25.0
2022,16,1622,16.0
2022,26,533,5.0
2023,52,2022,20.0
2019,1,123,1.0
2022,29,1111,11.0
2020,40,223,2.0
2020,22,333,3.0
2021,33,1712,17.0
2022,24,715,7.0
2022,17,1713,17.0
2019,8,2013,20.0
2023,16,1614,16.0
2019,19,1422,14.0
2021,40,334,3.0
2023,6,1733,17.0
2021,52,1812,18.0
2022,37,1225,12.0
2022,23,1013,10.0
2020,53,1232,12.0
2022,13,1712,17.0
2020,18,1114,11.0
2023,39,524,5.0
2021,18,1932,19.0
2023,22,835,8.0
2021,24,422,4.0
2019,10,932,9.0
2020,7,1424,14.0
2020,34,332,3.0
2019,40,1513,15.0
2019,24,2513,25.0
2021,10,214,2.0
2023,2,1812,18.0
2022,29,1412,14.0
2020,48,2033,20.0
2021,16,123,1.0
2020,51,1533,15.0
2023,30,1413,14.0
2020,13,2233,22.0
2020,13,133,1.0
2020,47,725,7.0
2019,35,532,5.0
2023,39,1533,15.0
2022,33,233,2.0
2023,1,1124,11.0
2021,46,1434,14.0
2020,47,2212,22.0
2019,10,2511,25.0
2019,14,1622,16.0
2019,23,1813,18.0
2022,34,222,2.0
2019,1,2212,22.0
2020,15,923,9.0
2021,39,1235,12.0
2019,49,723,7.0
2022,11,1813,18.0
2021,24,2532,25.0
2023,42,725,7.0
2023,41,131,1.0
2021,36,2514,25.0
2023,19,1111,11.0
2022,25,833,8.0
2019,3,531,5.0
2020,20,1924,19.0
2020,53,1522,15.0
2019,5,811,8.0
2020,6,1654,31.0
2020,45,232,2.0
2021,49,1212,12.0
2022,48,2521,25.0
2021,50,122,1.0
2021,48,821,8.0
2020,49,1422,14.0
2021,21,1134,11.0
2019,18,1034,10.0
2019,47,233,2.0
2021,28,2232,22.0
2020,19,714,7.0
2023,28,623,6.0
2019,8,412,4.0
2022,15,2031,20.0
2023,9,1215,12.0
2019,47,532,5.0
2020,10,533,5.0
2022,1,1654,16.0
2021,48,233,2.0
2020,18,2523,25.0
2022,49,2524,25.0
2022,21,612,6.0
2022,13,414,4.0
2022,31,925,9.0
2019,33,232,2.0
2023,21,1034,10.0
2022,35,833,8.0
